sector,n_obs,alpha,beta,beta_t_stat,beta_p_value,adj_r2
Tài chính,71,0.014626034710440064,1.4985011548144946,14.965322028095706,1.2372357371519048e-50,0.6950464655876203
Năng lượng,71,0.009378888582646365,1.437070369744853,10.12680664620729,4.201469318152514e-24,0.4969784118213808
Nguyên vật liệu,71,0.011210054416839659,1.2075777016443585,12.705515284032334,5.510526059442691e-37,0.7219075216983483
Bất động sản,71,0.010201658378777739,1.0628495960880429,14.587444438722326,3.376092166841083e-48,0.7146059312704693
Hàng tiêu dùng không thiết yếu,71,0.0066851187633646695,0.9797698826253352,7.342610839649408,2.0946692353609023e-13,0.6206231729650078
Công nghệ thông tin,71,0.016481960382047734,0.8070017538218467,5.251175358419187,1.5113171203366196e-07,0.3749454610873164
Công nghiệp,71,0.011971405242822284,0.8043277222234446,12.24329005806386,1.8248259606140603e-34,0.6096887422259409
Dịch vụ viễn thông,71,0.012317867451793583,0.7645030263876617,3.8644204690565873,0.00011135326339157255,0.1704033454704843
Hàng tiêu dùng thiết yếu,71,0.0060245666664834,0.7321312965140128,6.45519866993554,1.080770250264582e-10,0.6374957233655163
Dịch vụ tiện ích,71,0.004908604145264593,0.6302838091032327,6.838705847442201,7.991177695447454e-12,0.5874814027750958
Chăm sóc sức khỏe,71,0.007834424466724941,0.49192082420799144,4.943878002888569,7.658363905633175e-07,0.2951678274554491
