sector,n_obs,alpha,beta_mkt,beta_smb,beta_hml,p_alpha,p_mkt,p_smb,p_hml,adj_r2
Bất động sản,71,0.01453943316575002,0.9631496079263484,-0.05563381308638776,0.1541967251258056,0.019163148812976396,4.454039375474335e-22,0.6781905555661618,0.1953431302315134,0.7147452055747979
Chăm sóc sức khỏe,71,0.01326790028825795,0.13959025306305478,-0.47735904982651395,0.08072661631092844,0.01501831180071047,0.1933673311753339,0.015775234219585155,0.5678229311339941,0.33897971754456047
Công nghiệp,71,0.019276072589262942,0.33898042653864785,-0.6267898350069749,0.11285049818073152,0.0015199142120237703,0.006465029934744367,0.0007446377499519747,0.3205412395919761,0.6836263101902874
Công nghệ thông tin,71,0.01789690751471129,0.2946787674885563,-0.8778806350967617,-0.1863344306392324,0.020647675370161735,0.21390423255495195,0.008562609814645196,0.14038623314098375,0.436018634016478
Dịch vụ tiện ích,71,0.006508828316023895,0.28258202843990843,-0.5776670738444638,-0.09649421573743586,0.23119867682757644,0.0015129465266894625,2.2904931801146905e-05,0.39053103937064226,0.6619250340184415
Dịch vụ viễn thông,71,0.030867425322137425,-0.3582963627079354,-1.486268541606309,0.3150563076899086,0.028100613549897815,0.26830050617103063,0.0014188493483407367,0.2628166035219057,0.3110340645051055
Hàng tiêu dùng không thiết yếu,71,0.01771099304330617,0.47256103243430775,-0.5964425056631416,0.26649860877417525,0.010090550043295975,0.003133691509203805,0.0320874875356857,0.05420618297959406,0.690860236251614
Hàng tiêu dùng thiết yếu,71,0.006426997696236244,0.4330307983455854,-0.5245415265202048,-0.12854132769318327,0.1313233746797762,2.996215834135796e-06,0.005007088905657744,0.21229654064580672,0.6852375968559969
Nguyên vật liệu,71,0.026391317316453652,0.6831237335983095,-0.5097465369788767,0.45239544968620904,1.7166993585165031e-06,9.96001595238012e-05,0.010753103160758148,2.959210371060054e-07,0.8047312126240692
Năng lượng,71,0.021975857867241634,0.6989765991180066,-0.9658393207160554,0.22637868797433558,0.0378948664228252,0.01944882561648128,0.011531151917294888,0.3243442268405554,0.5383910367682845
Tài chính,71,0.02492649763595474,1.1402057992365873,-0.3501575488956057,0.3056963799698443,5.470834030814157e-06,1.0699975209123829e-07,0.22214149749744017,0.010914923513680315,0.712293357595136
