sector,MSE_NN,MSE_Bench,R2_OOS
Bất động sản,0.016078975249198733,0.014375273413597097,-0.11851613437767106
Chăm sóc sức khỏe,0.010455259227036294,0.010277552860782867,-0.01729072753607719
Công nghiệp,0.017788431764395898,0.016374937397179948,-0.08632059671015169
Công nghệ thông tin,0.018854239733723063,0.016929141398215095,-0.1137150603344208
Dịch vụ tiện ích,0.011158480864922046,0.011067748530313285,-0.0081979035176174
Dịch vụ viễn thông,0.013064878487092231,0.012616851657451623,-0.035510192384325734
Hàng tiêu dùng không thiết yếu,0.016946408642488465,0.016121093617228684,-0.051194729393405636
Hàng tiêu dùng thiết yếu,0.014187445915052908,0.013909261982895771,-0.01999990599783219
Nguyên vật liệu,0.016214942959987377,0.015174600377470475,-0.0685581535353963
Năng lượng,0.015182286535817912,0.011208107357231456,-0.3545807558688596
Tài chính,0.015880424378074548,0.01166215585878707,-0.3617057232269061
