sector,mkt_excess,SMB,HML,vol_12m,mom_12m,amihud
Bất động sản,0.3041831723641026,0.1740883790476061,0.2841469249256007,0.08267968457156953,0.07770497170064518,0.07719686739047595
Chăm sóc sức khỏe,0.2097608926831084,0.2152572785871615,0.18716935416062844,0.10560344294599704,0.10322915388020644,0.17897987774289817
Công nghiệp,0.24615795619097106,0.20917556989112165,0.3088452608408108,0.0761439811962526,0.0864177111109824,0.07325952076986147
Công nghệ thông tin,0.20981548596335664,0.18376152086938988,0.15644143623692677,0.1601039554651015,0.12772170907451724,0.16215589239070802
Dịch vụ tiện ích,0.11851821600457751,0.108127191546518,0.12801965592046788,0.21845542194640763,0.24110721996890402,0.18577229461312497
Dịch vụ viễn thông,0.17672790008414718,0.17520083954850907,0.1438440842274831,0.1229196726905135,0.17468628601308642,0.20662121743626075
Hàng tiêu dùng không thiết yếu,0.2204413912664568,0.14633748421606815,0.22912060819997737,0.11323301681587607,0.13339302053531024,0.15747447896631134
Hàng tiêu dùng thiết yếu,0.19181969431299473,0.16629131217848478,0.21511637675526432,0.1561174600254334,0.14782396329853595,0.12283119342928682
Nguyên vật liệu,0.3187336303383867,0.18857898436055087,0.2427356944440142,0.06688131398797027,0.09415111664827941,0.08891926022079855
Năng lượng,0.29838142531433465,0.19021059120513276,0.1940435341349691,0.07537589410605383,0.15004503921632903,0.09194351602318067
Tài chính,0.29389423332451364,0.25535143347456984,0.21925623330099897,0.08096183038209086,0.10384729981932363,0.046688969698503065
