sector,MSE_RF,MSE_Bench,R2_OOS
Bất động sản,0.014602430190081964,0.014375273413597097,-0.015801909984543894
Chăm sóc sức khỏe,0.010184546218399397,0.010277552860782867,0.009049492972044604
Công nghiệp,0.01659219093214273,0.016374937397179948,-0.01326744217050857
Công nghệ thông tin,0.017044891498865792,0.016929141398215095,-0.006837328481579252
Dịch vụ tiện ích,0.011081873507846876,0.011067748530313285,-0.0012762286290570746
Dịch vụ viễn thông,0.012414460369477909,0.012616851657451623,0.016041346404685797
Hàng tiêu dùng không thiết yếu,0.01638691699704255,0.016121093617228684,-0.016489165445313203
Hàng tiêu dùng thiết yếu,0.013959318079032107,0.013909261982895771,-0.0035987600347084925
Nguyên vật liệu,0.015523300056584931,0.015174600377470475,-0.022979167189942418
Năng lượng,0.011843455786130204,0.011208107357231456,-0.05668650456750157
Tài chính,0.012017264577709406,0.01166215585878707,-0.030449663271716165
